road,segmentNo,width,nrLanes,Km
Z1076,1,3.6112481499753333,1.0744943265910214,20.27
Z1081,1,4.954337848427181,1.6968543602373223,8.933
Z1081,2,4.053530665043373,1.2046872622127531,13.142
Z1083,1,5.641142233539468,2.0100036376864314,2.7489999999999997
Z1084,1,5.53261229866984,1.8002634822149506,70.593
Z1086,1,3.5536363636363637,1.0,22.66
Z1087,1,3.4674409291149377,1.0,12.485
Z1088,1,3.6194662846481878,1.013592750533049,15.008
Z1089,1,5.4378293135436,1.5,0.539
Z1089,2,5.374651955216615,1.5028395262047702,6.163000000000001
Z1095,1,3.6960497292961705,1.032534589933828,19.948
Z1098,1,9.360682117891445,2.3885796309911425,85.689
Z1099,1,3.7,1.0,9.208
Z1101,1,6.712541768768099,1.872020494542214,4.489
Z1102,1,5.181228192602932,1.4898813677599443,7.165
Z1124,1,4.7785885039426255,1.4161522817283336,28.026999999999997
Z1125,1,5.566155929907728,2.0,11.812999999999999
Z1125,2,5.5,2.0,7.462
Z1126,1,3.998685,1.1475833333333334,12.0
Z1126,2,3.64882612533098,1.0,6.797999999999998
Z1127,1,4.434787566672798,1.2147323891852124,10.874
Z1128,1,3.678037012557832,1.0009914077990747,7.565
Z1129,1,3.6943181818181823,1.0,4.4
Z1130,1,3.76177304964539,1.1161347517730498,5.64
Z1130,2,3.9357374583736173,1.2675636480825008,18.618000000000002
Z1131,1,4.187397096243077,1.2687471935339023,6.681
Z1132,1,3.68112666740161,1.0420295447028993,18.142
Z1133,1,3.6659887593671945,1.0,9.607999999999999
Z1134,1,3.725688073394495,1.0367683664035277,14.061
Z1201,1,3.9667332382310994,1.1676176890156922,7.01
Z1201,2,4.7942264150943386,1.5050943396226413,2.6500000000000004
Z1202,1,3.959007421150278,1.1263450834879407,10.78
Z1202,2,5.488110825344868,1.9915828851999067,4.277000000000001
Z1205,1,5.5,2.0,0.16
Z1205,2,5.507107231920199,2.0,4.01
Z1205,3,4.483994252873564,1.424137931034483,17.4
Z1206,1,4.637370062370062,1.5311850311850315,28.86
Z1210,1,3.701666666666666,1.0146520146520148,13.65
Z1216,1,5.505665722379604,2.0,10.59
Z1219,1,3.6573623853211004,1.0027522935779816,8.72
Z1219,2,3.281647435897436,1.0044871794871795,7.799999999999999
Z1220,1,3.709568684305908,1.022109459949257,16.554000000000002
Z1221,1,5.330588235294118,1.9024542267238023,25.67
Z1401,1,5.4943151910727455,1.9905253184545741,9.499
Z1401,2,3.773547482302658,1.0667824228663016,7.487
Z1401,3,3.2190401974154166,1.0,15.398999999999997
Z1402,1,5.242205839201879,1.8237602699530522,13.632
Z1402,2,4.6769236427835805,1.5477416507282624,6.797000000000002
Z1402,3,4.780555081127241,1.6025619128949615,23.419999999999995
Z1403,1,3.812108910891089,1.118811881188119,10.1
Z1405,1,8.766817010309278,2.109536082474227,1.5519999999999998
Z1405,2,6.091837907745366,2.0,6.959000000000001
Z1405,3,5.92515849297794,2.0348079946103748,57.88900000000001
Z1405,4,5.704386462469277,2.0,5.288999999999987
Z1407,1,4.041054497803129,1.1888537732213058,12.972999999999999
Z1407,2,3.672366834170854,1.0173869346733668,9.950000000000003
Z1407,3,4.243505311077391,1.3350531107739,6.59
Z1411,1,3.8213089802130886,1.142313546423135,19.71
Z1412,1,3.7341439304072757,1.0276789244760773,2.529
Z1412,2,3.361512958539803,1.0332608463156394,28.051
Z1413,1,4.701738088103086,1.5257716511836978,13.347999999999999
Z1414,1,5.8,2.0,8.02
Z1416,1,3.8,1.0,7.465
Z1416,2,3.8,1.0,1.4179999999999993
